,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
0,0,5487515a498e90fa40846448,Enskedeparkens bageri,59.28897213741021,18.063301053734108,Enskede gårdsväg 19,1263,,SE,Stockholm,Storstockholm,Sverige,Bakery,13.0,57.0,9.1,1.0,No,No Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, "
1,1,4adcdaedf964a5206a5a21e3,Reggev Hummus,59.308876,18.081884,Ringvägen 145,1703,,SE,Stockholm,Storstockholm,Sverige,Middle Eastern Restaurant,61.0,205.0,9.3,1.0,No,Delivery,Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Brunch, Lunch, Dinner, "
2,2,51c9f88c498ebdb43d197011,Bonne Femme,59.29429103767666,18.109585550164965,Malmövägen 18,1479,,SE,Johanneshov,Storstockholm,Sverige,Bakery,3.0,32.0,8.9,1.0,No,No Delivery,,Yes,
3,3,4c6822049cedd13a2bbd79a1,Gamla Enskede Matbod,59.28503292744222,18.08757305145264,Stockholmsvägen 117,980,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,6.0,22.0,8.6,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,
4,4,52ee35b8498e6f60f06c5ec4,Två Små Svin,59.296702258827324,18.051828643948408,Årstavägen 49,1838,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,12.0,43.0,8.9,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, "
5,5,4bdd750c645e0f4728846b19,Tomatis,59.28436162805853,18.08931648731232,Nynäsvägen 328,1078,,SE,Stockholm,Storstockholm,Sverige,Pizza Place,9.0,15.0,8.4,1.0,,,Credit Cards: Yes,No,
6,6,5662b4f4498e5501f8d46bb5,Teatern,59.30841787852913,18.074962580724574,Götgatan 132,1720,,SE,Stockholm,Storstockholm,Sverige,Food Court,35.0,204.0,8.8,,,,Credit Cards: Yes,,"Brunch, Lunch, Dinner, "
7,7,55772baf498e3558cc8637ad,Bleck,59.30933757317354,18.08631405775564,Katarina Bangata 68,1758,,SE,Stockholm,Storstockholm,Sverige,Modern European Restaurant,12.0,101.0,8.8,,No,No Delivery,Credit Cards: Yes,Yes,"Brunch, Dinner, "
8,8,4b994599f964a520326f35e3,La Vecchia Signora,59.314317294563246,18.084778413277963,Åsögatan 163,2307,,SE,Stockholm,Storstockholm,Sverige,Italian Restaurant,11.0,66.0,9.3,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Dinner, Dessert, "
9,9,4be300f7660ec928f5dbca3b,Restaurang Göteborg,59.3028844,18.107820699999998,Midskeppsgatan 31,1721,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,25.0,73.0,8.7,2.0,Yes,Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, "
10,10,4b59dbc9f964a5206d9c28e3,Enskede Värdshus,59.28843926740941,18.0611406603186,Midskeppsgatan 31,1400,,SE,Stockholm,Storstockholm,Sverige,Restaurant,4.0,33.0,8.5,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,
11,11,55311cbb498ebe46791f8adc,Tbilisis hörna,59.29816019420304,18.08807665969369,Olaus Magnus väg 14,567,,SE,Johanneshov,Storstockholm,Sverige,Caucasian Restaurant,8.0,52.0,8.2,,Yes,Take-out,Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Lunch, Dinner, Dessert, "
12,12,56dd5e02cd103f49625a8578,Niklas and Friends,59.301001,18.097954,Hammarbyfabriksväg 43,1159,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,1.0,8.0,8.4,2.0,,,,,
