,Unnamed: 0,Unnamed: 0.1,venue_id,name,lat,lng,address,distance,postalCode,cc,city,state,country,category,tipCount,likes,rating,price_tier,payments,phone,twitter,facebook,menu,formattedAddress,category_name
0,0,0,5487515a498e90fa40846448,Enskedeparkens bageri,59.28897213741021,18.063301053734108,Enskede gårdsväg 19,1263,120 47,SE,Stockholm,Storstockholm,Sverige,Bakery,13.0,58.0,9.1,1.0,Credit Cards: Yes,46702398040.0,,391548957662426.0,,"Enskede gårdsväg 19, 120 47 Årsta, Sverige","Bakery, Café"
1,1,1,4adcdaedf964a5206a5a21e3,Reggev Hummus,59.308876,18.081884,Ringvägen 145,1703,116 61,SE,Stockholm,Storstockholm,Sverige,Middle Eastern Restaurant,61.0,205.0,9.3,1.0,Credit Cards: Yes (incl. Visa & MasterCard),4686405801.0,,,,"Ringvägen 145 (btw Bjurholmsgatan & Södermannagatan), 116 61 Stockholm, Sverige",Middle Eastern Restaurant
2,2,2,51c9f88c498ebdb43d197011,Bonne Femme,59.29429103767666,18.109585550164965,Malmövägen 18,1479,121 49,SE,Johanneshov,Storstockholm,Sverige,Bakery,3.0,32.0,8.9,1.0,,,,,,"Malmövägen 18, 121 49 Johanneshov, Sverige","Bakery, Café, Fruit & Vegetable Store"
3,3,3,4c6822049cedd13a2bbd79a1,Gamla Enskede Matbod,59.28503292744222,18.08757305145264,Stockholmsvägen 117,980,122 62,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,6.0,22.0,8.6,2.0,Credit Cards: Yes,4686483810.0,matboden,,,"Stockholmsvägen 117 (Stora Gungans väg), 122 62 Årsta, Sverige",Scandinavian Restaurant
4,4,4,52ee35b8498e6f60f06c5ec4,Två Små Svin,59.296702258827324,18.051828643948408,Årstavägen 49,1838,120 54,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,12.0,44.0,8.9,2.0,Credit Cards: Yes,4687227520.0,,1407646436141248.0,https://www.xn--tvsmsvin-b0ac.se/Smoerrebroed,"Årstavägen 49, 120 54 Årsta, Sverige",Scandinavian Restaurant
5,5,5,5662b4f4498e5501f8d46bb5,Teatern,59.30841787852913,18.074962580724574,Götgatan 132,1720,118 62,SE,Stockholm,Storstockholm,Sverige,Food Court,35.0,204.0,8.8,,Credit Cards: Yes,4686963497.0,,,,"Götgatan 132, 118 62 Stockholm, Sverige",Food Court
6,6,6,55772baf498e3558cc8637ad,Bleck,59.30933757317354,18.08631405775564,Katarina Bangata 68,1758,116 42,SE,Stockholm,Storstockholm,Sverige,Modern European Restaurant,12.0,101.0,8.8,,Credit Cards: Yes,46705556456.0,,,http://restaurangbleck.se/pdf/bleck_meny_ENG.pdf,"Katarina Bangata 68, 116 42 Stockholm, Sverige","Modern European Restaurant, Scandinavian Restaurant"
7,7,7,4b994599f964a520326f35e3,La Vecchia Signora,59.314317294563246,18.084778413277963,Åsögatan 163,2307,116 32,SE,Stockholm,Storstockholm,Sverige,Italian Restaurant,11.0,66.0,9.3,2.0,Credit Cards: Yes,4686444585.0,,254774127910336.0,http://www.lavecchiasignora.se/pdf/matsedel.pdf,"Åsögatan 163, 116 32 Stockholm, Sverige",Italian Restaurant
8,8,8,4be300f7660ec928f5dbca3b,Restaurang Göteborg,59.3028844,18.1078207,Midskeppsgatan 31,1721,120 66,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,25.0,73.0,8.7,2.0,Credit Cards: Yes,4631139933.0,,127554180640303.0,,"Midskeppsgatan 31, 120 66 Stockholm, Sverige","Scandinavian Restaurant, Seafood Restaurant"
9,9,9,4b59dbc9f964a5206d9c28e3,Enskede Värdshus,59.28843926740941,18.0611406603186,Midskeppsgatan 31,1400,,SE,Stockholm,Storstockholm,Sverige,Restaurant,4.0,33.0,8.5,2.0,Credit Cards: Yes,,,,,Sverige,Restaurant
