,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
0,0,5364e8a7498e241e281a4333,Motel L,59.30288088212711,18.087712655014716,Hammarby Allé 41,1059,,SE,Stockholm,Storstockholm,Sverige,Hotel,30.0,125.0,8.3,,Yes,,Credit Cards: Yes,,Breakfast
1,1,4adcdae8f964a520555921e3,Hotel Rival,59.31816651071166,18.063310963002028,Mariatorget 3,2967,,SE,Stockholm,Storstockholm,Sverige,Hotel,42.0,165.0,8.8,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
2,2,4bc366b4f8219c744d09b610,Elite Hotel Marina Tower,59.314703039474786,18.109397883535138,Saltsjöqvarns Kaj 25,2769,,SE,Stockholm,Storstockholm,Sverige,Hotel,27.0,87.0,8.7,,Yes,,Credit Cards: Yes (incl. American Express),,
3,3,4afeef9df964a520e43122e3,Hotel Skeppsholmen,59.32475095127594,18.087658882141113,Gröna Gången 1,3475,,SE,Stockholm,Storstockholm,Sverige,Hotel,36.0,123.0,8.7,,,,Credit Cards: Yes,,
4,4,4adcdae8f964a520395921e3,Grand Hôtel Stockholm,59.32936396617764,18.075391798800286,Södra Blasieholmshamnen 8,4008,,SE,Stockholm,Storstockholm,Sverige,Hotel,59.0,335.0,8.7,,Yes,,Credit Cards: Yes (incl. American Express & MasterCard),Yes,"Breakfast, Brunch, Lunch, Dinner, Dessert, "
5,5,4adcdaeaf964a5209c5921e3,Lydmar Hotel,59.32901949022164,18.07714687160898,Södra Blasieholmshamnen 2,3959,,SE,Stockholm,Storstockholm,Sverige,Hotel,50.0,139.0,9.0,,Yes,,Credit Cards: Yes (incl. American Express & MasterCard),Yes,Breakfast
6,6,58d36bd98ab03f3dceb3d9fe,At Six,59.331056700000005,18.066930399999997,Brunkebergstorg 6,4275,,SE,Stockholm,Storstockholm,Sverige,Hotel,19.0,99.0,9.0,,,,Credit Cards: Yes,,
7,7,4d3db01efb4c5481eb50df14,Radisson Blu Waterfront Hotel,59.3298307,18.056176500000003,Nils Ericsons Plan 4,4323,,SE,Stockholm,Storstockholm,Sverige,Hotel,89.0,312.0,8.6,,,,Credit Cards: Yes (incl. American Express),,
8,8,4bcdd773511f9521a741b5c7,Clarion Hotel Stockholm,59.30726189999999,18.0750499,Ringvägen 98,1596,,SE,Stockholm,Storstockholm,Sverige,Hotel,60.0,194.0,7.7,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
9,9,4addd0baf964a520f26521e3,Story Hotel,59.33474203724354,18.07531800718365,Riddargatan 6,4603,,SE,Stockholm,Storstockholm,Sverige,Hotel,64.0,161.0,8.5,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
10,10,4adcdae8f964a5204f5921e3,Scandic Continental,59.33112010299758,18.05904468554665,Vasagatan 22,4403,,SE,Stockholm,Storstockholm,Sverige,Hotel,26.0,117.0,8.7,,Yes,,Credit Cards: Yes,Yes,
11,11,4adcdae9f964a520685921e3,Hotel Diplomat Stockholm,59.331905400000004,18.080631600000004,Strandvägen 7,4267,,SE,Stockholm,Storstockholm,Sverige,Hotel,21.0,102.0,8.7,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
12,12,4e206ed3ae6015b2129b1c1f,Hotel Hellstens Malmgård,59.317687,18.046538,Brännkyrkagatan 110,3409,,SE,Stockholm,Storstockholm,Sverige,Hotel,18.0,50.0,8.0,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
13,13,4ceff7d528abb60caca0c509,Nobis Hotel,59.33338927009361,18.07412846005809,Norrmalmstorg 2-4,4461,,SE,Stockholm,Storstockholm,Sverige,Hotel,75.0,200.0,8.3,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
