,Unnamed: 0,Unnamed: 0.1,venue_id,name,lat,lng,address,distance,postalCode,cc,city,state,country,category,tipCount,likes,rating,price_tier,payments,phone,twitter,facebook,menu,formattedAddress,category_name,raw_price
0,0,0,5364e8a7498e241e281a4333,Motel L,59.30288088212711,18.087712655014716,Hammarby Allé 41,1059,120 61,SE,Stockholm,Storstockholm,Sverige,Hotel,30.0,125.0,8.3,,Credit Cards: Yes,46840902600.0,,,,"Hammarby Allé 41, 120 61 Stockholm, Sverige","Hotel, Motel",68.0
1,1,1,55e535c4498e77effb10d702,Best Western Nofo Hotel,59.315679405668774,18.078735495786525,Tjärhovsgatan 11,2473,116 21,SE,Stockholm,Storstockholm,Sverige,Hotel,4.0,59.0,8.9,,Credit Cards: Yes,46850311200.0,bestwestern,1548419788717310.0,,"Tjärhovsgatan 11, 116 21 Stockholm, Sverige",Hotel,127.0
2,2,2,4bc366b4f8219c744d09b610,Elite Hotel Marina Tower,59.31470303947479,18.109397883535138,Saltsjöqvarns Kaj 25,2769,131 71,SE,Stockholm,Storstockholm,Sverige,Hotel,27.0,87.0,8.7,,Credit Cards: Yes (incl. American Express),46856621740.0,elitehotels,,,"Saltsjöqvarns Kaj 25, 131 71 Stockholm, Sverige","Hotel, Restaurant",123.0
3,3,3,4adcdae8f964a520555921e3,Hotel Rival,59.31816651071166,18.063310963002028,Mariatorget 3,2967,118 48,SE,Stockholm,Storstockholm,Sverige,Hotel,42.0,165.0,8.8,,Credit Cards: Yes (incl. American Express & MasterCard),46854578900.0,therivalhotel,154087041299345.0,,"Mariatorget 3, 118 48 Stockholm, Sverige",Hotel,159.0
4,4,4,58e3cdbde7f1cf45249d11e9,Biz Apt Hammarby Sjöstad,59.301891345354356,18.098657383827288,Mariatorget 3,1258,120 30,SE,Stockholm,Storstockholm,Sverige,Hotel,6.0,15.0,8.0,,,,,,,"120 30 Stockholm, Sverige",Hotel,82.0
5,5,5,4afeef9df964a520e43122e3,Hotel Skeppsholmen,59.32475095127594,18.087658882141113,Gröna Gången 1,3475,111 49,SE,Stockholm,Storstockholm,Sverige,Hotel,36.0,123.0,8.7,,Credit Cards: Yes,4684072300.0,hotskeppsholmen,108644337144.0,,"Gröna Gången 1, 111 49 Stockholm, Sverige",Hotel,170.0
6,6,6,4adcdaeaf964a5209c5921e3,Lydmar Hotel,59.32901949022164,18.07714687160898,Södra Blasieholmshamnen 2,3959,103 24,SE,Stockholm,Storstockholm,Sverige,Hotel,50.0,139.0,9.0,,Credit Cards: Yes (incl. American Express & MasterCard),468223160.0,lydmarlive,187556504591315.0,,"Södra Blasieholmshamnen 2, 103 24 Stockholm, Sverige","Hotel, Bar",273.0
7,7,7,58d36bd98ab03f3dceb3d9fe,At Six,59.33105670000001,18.0669304,Brunkebergstorg 6,4275,111 51,SE,Stockholm,Storstockholm,Sverige,Hotel,19.0,99.0,9.0,,Credit Cards: Yes,46857882800.0,,870295593103220.0,,"Brunkebergstorg 6, 111 51 Stockholm, Sverige",Hotel,182.0
8,8,8,4adcdae8f964a520395921e3,Grand Hôtel Stockholm,59.329363966177645,18.07539179880029,Södra Blasieholmshamnen 8,4008,SE 103 27,SE,Stockholm,Storstockholm,Sverige,Hotel,59.0,335.0,8.7,,Credit Cards: Yes (incl. American Express & MasterCard),4686793500.0,grandhotelsthlm,149844863100.0,,"Södra Blasieholmshamnen 8 (Stallgatan), SE 103 27 Stockholm, Sverige","Hotel, Event Space, Restaurant",310.0
9,9,9,4adcdae9f964a520685921e3,Hotel Diplomat Stockholm,59.3319054,18.080631600000004,Strandvägen 7,4267,114 56,SE,Stockholm,Storstockholm,Sverige,Hotel,21.0,102.0,8.7,,Credit Cards: Yes (incl. American Express & MasterCard),4684596800.0,,373134636075543.0,,"Strandvägen 7, 114 56 Stockholm, Sverige",Hotel,181.0
10,10,10,4adcdae8f964a5204f5921e3,Scandic Continental,59.33112010299758,18.05904468554665,Vasagatan 22,4403,111 20,SE,Stockholm,Storstockholm,Sverige,Hotel,26.0,117.0,8.7,,Credit Cards: Yes,46851734200.0,scandicsverige,233012900082020.0,,"Vasagatan 22, 111 20 Stockholm, Sverige","Hotel, Hotel Bar",157.0
